date,k18,k21,k22,traditional
2007-03-07,1326,1547,1620,1372
2007-03-08,1326,1547,1620,1372
2007-03-09,1326,1547,1620,1372
2007-03-10,1326,1547,1620,1372
2007-03-11,1326,1547,1620,1372
2007-03-12,1326,1547,1620,1372
2007-03-13,1326,1547,1620,1372
2007-03-14,1326,1547,1620,1372
2007-03-15,1326,1547,1620,1372
2007-03-16,1326,1547,1620,1372
2007-03-17,1326,1547,1620,1372
2007-03-18,1326,1547,1620,1372
2007-03-19,1326,1547,1620,1372
2007-03-20,1326,1547,1620,1372
2007-03-21,1326,1547,1620,1372
2007-03-22,1326,1547,1620,1372
2007-03-23,1326,1547,1620,1372
2007-03-24,1326,1547,1620,1372
2007-03-25,1326,1547,1620,1372
2007-03-26,1326,1547,1620,1372
2007-03-27,1326,1547,1620,1372
2007-03-28,1326,1547,1620,1372
2007-03-29,1326,1547,1620,1372
2007-03-30,1326,1547,1620,1372
2007-03-31,1326,1547,1620,1372
2007-04-01,1326,1547,1620,1372
2007-04-02,1326,1547,1620,1372
2007-04-03,1326,1547,1620,1372
2007-04-04,1326,1547,1620,1372
2007-04-05,1326,1547,1620,1372
2007-04-06,1326,1547,1620,1372
2007-04-07,1326,1547,1620,1372
2007-04-08,1326,1547,1620,1372
2007-04-09,1326,1547,1620,1372
2007-04-10,1326,1547,1620,1372
2007-04-11,1326,1547,1620,1372
2007-04-12,1326,1547,1620,1372
2007-04-13,1326,1547,1620,1372
2007-04-14,1326,1547,1620,1372
2007-04-15,1326,1547,1620,1372
2007-04-16,1326,1547,1620,1372
2007-04-17,1326,1547,1620,1372
2007-04-18,1326,1547,1620,1372
2007-04-19,1398,1632,1709,1457
2007-04-20,1398,1632,1709,1457
2007-04-21,1398,1632,1709,1457
2007-04-22,1398,1632,1709,1457
2007-04-23,1398,1632,1709,1457
2007-04-24,1398,1632,1709,1457
2007-04-25,1398,1632,1709,1457
2007-04-26,1398,1632,1709,1457
2007-04-27,1398,1632,1709,1457
2007-04-28,1398,1632,1709,1457
2007-04-29,1398,1632,1709,1457
2007-04-30,1398,1632,1709,1457
2007-05-01,1398,1632,1709,1457
2007-05-02,1398,1632,1709,1457
2007-05-03,1398,1632,1709,1457
2007-05-04,1398,1632,1709,1457
2007-05-05,1398,1632,1709,1457
2007-05-06,1398,1632,1709,1457
2007-05-07,1398,1632,1709,1457
2007-05-08,1398,1632,1709,1457
2007-05-09,1398,1632,1709,1457
2007-05-10,1398,1632,1709,1457
2007-05-11,1398,1632,1709,1457
2007-05-12,1398,1632,1709,1457
2007-05-13,1398,1632,1709,1457
2007-05-14,1398,1632,1709,1457
2007-05-15,1398,1632,1709,1457
2007-05-16,1398,1632,1709,1457
2007-05-17,1398,1632,1709,1457
2007-05-18,1398,1632,1709,1457
2007-05-19,1398,1632,1709,1457
2007-05-20,1398,1632,1709,1457
2007-05-21,1398,1632,1709,1457
2007-05-22,1398,1632,1709,1457
2007-05-23,1398,1632,1709,1457
2007-05-24,1398,1632,1709,1457
2007-05-25,1398,1632,1709,1457
2007-05-26,1398,1632,1709,1457
2007-05-27,1398,1632,1709,1457
